Link,Tiêu đề,Địa chỉ,Mức giá,Giá/m²,Số phòng ngủ,Huyện,Diện tích,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số toilet,Pháp lý,Latitude,Longitude
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hung-prj-the-empire-vinhomes-ocean-park-2/ck26-loc-01-can-tieu-song-lap-2-91m2-dep-ma-chi-99tr-m-pr40489735,"Chuyên: Biệt thự, Shop, góc, xẻ khe ""Đảo Dừa Ocean Park 2"" 0944 488 *** chỉ từ 10.5tỷ(rẻ hơn cắt lỗ)","Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên","10,5 tỷ","~131,25 triệu/m²",8 phòng,Văn Giang,80 m²,8 m,20 m,Đông - Nam,Đông - Nam,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,20.9424362182617,105.955299377441
https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-xa-nghia-tru-prj-the-crown-vinhomes-ocean-park-3/sieu-hot-quy-vinh-tay-duy-t-mat-tien-6m-thong-thang-chung-cu-cao-cap-pr40875620,"Siêu hot, quỹ thưởng nhà phố Vịnh Tây, duy nhất mặt tiền 6m, thông thẳng chung cư cao cấp","Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên","10,7 tỷ","~137,18 triệu/m²",,Văn Giang,78 m²,6 m,,Đông - Nam,Đông - Nam,5 tầng,,Hợp đồng mua bán,20.941484451293945,105.95690155029297
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hung-prj-the-empire-vinhomes-ocean-park-2/tong-quy-can-vi-tri-co-tinh-khan-hiem-va-chinh-sach-so-1-tai-du-an-vin-yen-van-anh-b-d-s-pr40346772,Tổng quỹ căn vị trí có tính 'khan hiếm' và chính sách số 1 tại dự án Vin Hưng Yên - Văn Anh B.Đ.S,"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên","9,8 tỷ","~107,69 triệu/m²",,Văn Giang,91 m²,7 m,13 m,Tây - Bắc,,,,Sổ đỏ/ Sổ hồng,20.9424362182617,105.955299377441
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truc-1-xa-xuan-quan-prj-khu-do-thi-ecopark/-chinh-chu-gia-dinh-toi-ban-duplex-cao-cap-150m2-full-view-song-hong-cuc-dep-pr40846312,"(Chính chủ) Gia đình tôi cần bán căn Duplex cao cấp 150m2 Ecopark full đồ, view sông Hồng cực đẹp","Dự án Ecopark, Đường Trúc, Xã Xuân Quan, Văn Giang, Hưng Yên","9,2 tỷ","~61,33 triệu/m²",3 phòng,Văn Giang,150 m²,,,,,,3 phòng,Sổ đỏ/ Sổ hồng,20.97422218322754,105.9221420288086
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-xuan-quan-prj-the-fibonan-ecopark/truc-tiep-cdt-ban-gia-tot-nhat-mua-o-hay-dau-tu-chi-tu-850tr-ls-0-full-tu-bep-dieu-a-pr40164078,Trực tiếp CĐT bán căn hộ giá tốt nhất mua ở hay đầu tư chỉ từ 850tr + LS 0% full tủ bếp + điều hòa,"Dự án The Fibonan Ecopark, Xã Xuân Quan, Văn Giang, Hưng Yên","2,8 tỷ","~47,61 triệu/m²",2 phòng,Văn Giang,"58,81 m²",,,,,,2 phòng,HĐ,20.9620552062988,105.931800842285
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-xuan-quan-prj-the-fibonan-ecopark/em-giang-pkd-chia-se-6-yeu-to-hoi-tu-tai-ck-7-gtch-htls-0-24th-qua-tan-gia-100tr-pr40588012,"Em Giang PKD chia sẻ 6 yếu tố hội tụ tại The Fibonan,căn 3N 79m2 CK 7%,HTLS 0% 24th, tân gia 100tr","Dự án The Fibonan Ecopark, Xã Xuân Quan, Văn Giang, Hưng Yên","3,9 tỷ","~49,37 triệu/m²",3 phòng,Văn Giang,79 m²,,,Đông - Nam,Đông - Nam,,2 phòng,Sổ đỏ/ Sổ hồng,20.9620552062988,105.931800842285
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-cuu-cao-prj-the-fibonan-ecopark/ban-2pn-dep-nhat-du-an-ban-cong-dong-nam-view-song-san-golf-3-5ty-htls-0-ck6-60-trieu-pr40796423,"Bán căn 2PN đẹp nhất dự án ban công Đông Nam view sông, sân golf 3.5tỷ, HTLS 0%, CK 6% + 60 triệu","Dự án The Fibonan Ecopark, Xã Cửu Cao, Văn Giang, Hưng Yên","3,5 tỷ","~51,47 triệu/m²",2 phòng,Văn Giang,68 m²,,,Tây - Bắc,Đông - Nam,,2 phòng,HĐMB,20.9620552062988,105.931800842285
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-xuan-quan-prj-the-fibonan-ecopark/em-giang-pkd-chu-dau-tu-chi-600tr-so-huu-ngay-2pn-ck-9-htls-0-trong-24th-qua-tang-25tr-pr39641609,"Em Giang PKD chủ đầu tư giảm ngay 300tr căn hộ 2PN CK 9%, HTLS 0% trong 24th, quà tặng tân gia 45tr","Dự án The Fibonan Ecopark, Xã Xuân Quan, Văn Giang, Hưng Yên","3,1 tỷ","~47,69 triệu/m²",2 phòng,Văn Giang,65 m²,,,Đông - Nam,Đông - Nam,,2 phòng,Sổ đỏ/ Sổ hồng,20.962055206298828,105.93180084228516
https://batdongsan.com.vn/ban-dat-xa-dong-tao/346m2-duong-xe-tai-gan-song-mat-tien-13-35m-thich-hop-dau-tu-de-o-pr40746970,"346m2 đường xe tải gần sông, mặt tiền 13,35m thích hợp đầu tư để ở","Xã Đông Tảo, Khoái Châu, Hưng Yên",11 triệu/m²,"~3,81 tỷ",,Khoái Châu,346 m²,"13,35 m",,,,,,Sổ đỏ,20.8916905596844,105.955354983578
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-truc-1-xa-xuan-quan-prj-khu-do-thi-ecopark/tong-dien-ban-nhanh-don-lap-319-m2-36-5-ty-pr40583999,"Tống Diễn 0944 866 ***. Bán nhanh biệt thự đơn lập Ecopark, 319 m2, 36.5 tỷ","Dự án Ecopark, Đường Trúc, Xã Xuân Quan, Văn Giang, Hưng Yên","36,5 tỷ","~114,42 triệu/m²",4 phòng,Văn Giang,319 m²,18 m,6 m,Tây - Nam,,3 tầng,4 phòng,Sổ đỏ/ Sổ hồng,20.9742221832275,105.922142028809
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-truc-1-xa-xuan-quan-prj-khu-do-thi-ecopark/tong-dien-ban-gap-tho-20-5-ty-pr39820802,"Tống Diễn 0944 866 ***. Bán song lập Vườn Tùng Ecopark, nhà thô, hoàn thiện mặt ngoài, giá chuẩn","Dự án Ecopark, Đường Trúc, Xã Xuân Quan, Văn Giang, Hưng Yên",22 tỷ,"~135,8 triệu/m²",4 phòng,Văn Giang,162 m²,20 m,6 m,Đông - Nam,,3 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,20.97422218322754,105.9221420288086
